1580803051474,5841,HTTP Request,200,OK,Thread Group 1-6,text,true,,176974,244,6,6,https://www.thedailystar.net/,139,0,53
1580803051474,139,HTTP Request-0,301,Moved Permanently,Thread Group 1-6,,true,,113,122,6,6,http://www.thedailystar.net/,139,0,53
1580803051614,5701,HTTP Request-1,200,OK,Thread Group 1-6,text,true,,176861,122,6,6,https://www.thedailystar.net/,367,0,121
1580803052021,5356,HTTP Request,200,OK,Thread Group 1-17,text,true,,176976,244,5,5,https://www.thedailystar.net/,1249,0,1122
1580803052021,1249,HTTP Request-0,301,Moved Permanently,Thread Group 1-17,,true,,113,122,5,5,http://www.thedailystar.net/,1249,0,1122
1580803053271,4106,HTTP Request-1,200,OK,Thread Group 1-17,text,true,,176863,122,5,5,https://www.thedailystar.net/,1456,0,1208
1580803051921,5594,HTTP Request,200,OK,Thread Group 1-15,text,true,,176975,244,4,4,https://www.thedailystar.net/,259,0,129
1580803051921,259,HTTP Request-0,301,Moved Permanently,Thread Group 1-15,,true,,113,122,4,4,http://www.thedailystar.net/,259,0,129
1580803052180,5335,HTTP Request-1,200,OK,Thread Group 1-15,text,true,,176862,122,4,4,https://www.thedailystar.net/,2146,0,2027
1580803051525,6035,HTTP Request,200,OK,Thread Group 1-7,text,true,,176976,244,3,3,https://www.thedailystar.net/,150,0,85
1580803051525,150,HTTP Request-0,301,Moved Permanently,Thread Group 1-7,,true,,113,122,3,3,http://www.thedailystar.net/,150,0,85
1580803051676,5884,HTTP Request-1,200,OK,Thread Group 1-7,text,true,,176863,122,3,3,https://www.thedailystar.net/,1297,0,1166
1580803052122,5521,HTTP Request,200,OK,Thread Group 1-19,text,true,,176976,244,2,2,https://www.thedailystar.net/,253,0,128
1580803052122,253,HTTP Request-0,301,Moved Permanently,Thread Group 1-19,,true,,113,122,2,2,http://www.thedailystar.net/,253,0,128
1580803052376,5267,HTTP Request-1,200,OK,Thread Group 1-19,text,true,,176863,122,2,2,https://www.thedailystar.net/,1052,0,922
1580803051771,6095,HTTP Request,200,OK,Thread Group 1-12,text,true,,176977,244,1,1,https://www.thedailystar.net/,212,0,100
1580803051771,212,HTTP Request-0,301,Moved Permanently,Thread Group 1-12,,true,,113,122,1,1,http://www.thedailystar.net/,212,0,100
1580803051984,5882,HTTP Request-1,200,OK,Thread Group 1-12,text,true,,176864,122,1,1,https://www.thedailystar.net/,2852,0,2215
